State,Clinton,Trump
GA,0.46,0.51
IN,0.38,0.57
KY,0.33,0.63
SC,0.41,0.55
VA,0.5,0.45
VT,0.61,0.33
NC,0.47,0.51
OH,0.44,0.52
WV,0.26,0.69
AL,0.35,0.63
CT,0.54,0.41
DC,0.93,0.4
DE,0.53,0.42
FL,0.48,0.49
IL,0.55,0.39
MA,0.61,0.34
MD,0.61,0.35
ME,0.48,0.45
ME-1,0.54,0.39
ME-2,0.41,0.52
MO,0.38,0.57
MS,0.4,0.58
NH,0.48,0.47
NJ,0.55,0.42
OK,0.29,0.65
PA,0.48,0.49
RI,0.55,0.4
TN,0.35,0.61
AR,0.34,0.6
AZ,0.45,0.5
CO,0.47,0.44
KS,0.36,0.57
LA,0.38,0.58
MI,0.47,0.48
MN,0.47,0.45
ND,0.28,0.64
NE,0.34,0.6
NE-1,0.36,0.58
NE-2,0.45,0.49
NE-3,0.2,0.75
NM,0.48,0.4
NY,0.59,0.37
SD,0.32,0.62
TX,0.43,0.53
WI,0.47,0.48
WY,0.22,0.7
IA,0.42,0.52
MT,0.36,0.57
NV,0.48,0.46
UT,0.28,0.46
CA,0.62,0.33
HI,0.62,0.3
ID,0.28,0.59
OR,0.52,0.41
WA,0.54,0.38
AK,0.38,0.53
